subject,precision.pmt,precision.rg,recall.pmt,recall.rg,fmeasure.pmt,fmeasure.rg,auc.pmt,auc.rg
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\LastCalc.arff,0.920377461,0.086675159,0.897247063,0.294406453,0.900653074,0.133922632,0.948423093,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\linq4j.arff,0.957815374,0.049582525,0.952034492,0.222671337,0.953289703,0.081105237,0.978419512,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\Liqp.arff,0.892073261,0.416313024,0.87950072,0.645223236,0.873559372,0.506086973,0.890401662,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\log-synth.arff,0.863913409,0.200960384,0.829196217,0.448286052,0.828114085,0.277514769,0.897791385,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\log4j-jsonevent-layout.arff,0.983471074,0.887644287,0.983471074,0.94214876,0.983471074,0.914084755,0.968045113,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\low-gc-membuffers.arff,0.913048884,0.30209163,0.903781229,0.549628629,0.902372941,0.389889067,0.925411224,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\maven-git-commit-id-plugin.arff,0.9140997,0.165693234,0.89227836,0.407054337,0.893197006,0.235517889,0.942482891,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\maven-s3-wagon.arff,0.997931662,4.45E-06,0.894514768,0.002109705,0.942285595,8.88E-06,0.898520085,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\metrics-statsd.arff,0.989937107,3.56E-04,0.978436658,0.018867925,0.982237469,6.99E-04,0.999411303,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\microorm.arff,0.986666667,0.928011111,0.986666667,0.963333333,0.986666667,0.945342388,0.93095313,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\mimecraft.arff,0.916383686,0.665692127,0.912133891,0.815899582,0.902077283,0.733181652,0.873659674,0.5
